=== Training config ===
  algo=random  init=random  gens=200  popsize=48
  cpus=16  node=p1cmp019.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_200
  workdir=/tmp/tmp.y2W5AyBFuL
  started=Wed Apr 22 03:29:56 EDT 2026

Random search (105 params, popsize=48, gens=200, 5 cycles/eval)
  workers: 15
gen  90  best=+91.9307  mean=-29.3089  pop_best=+91.9307
gen  91  best=+91.9307  mean=-40.2551  pop_best=+91.9307
gen  92  best=+91.9307  mean=-22.0687  pop_best=+91.9307
gen  93  best=+91.9307  mean=-40.6154  pop_best=+91.9307
gen  94  best=+91.9307  mean=-29.6801  pop_best=+91.9307
gen  95  best=+91.9307  mean=-27.9857  pop_best=+91.9307
gen  96  best=+91.9307  mean=-45.0057  pop_best=+91.9307
gen  97  best=+91.9307  mean=-62.4030  pop_best=+91.9307
gen  98  best=+91.9307  mean=-54.1594  pop_best=+91.9307
gen  99  best=+91.9307  mean=-42.0869  pop_best=+91.9307
gen 100  best=+91.9307  mean=-54.8991  pop_best=+91.9307
gen 101  best=+91.9307  mean=-43.2353  pop_best=+91.9307
gen 102  best=+91.9307  mean=-27.7641  pop_best=+91.9307
gen 103  best=+91.9307  mean=-31.8451  pop_best=+91.9307
gen 104  best=+91.9307  mean=-51.5436  pop_best=+91.9307
gen 105  best=+91.9307  mean=-36.8341  pop_best=+91.9307
gen 106  best=+91.9307  mean=-51.9686  pop_best=+91.9307
gen 107  best=+91.9307  mean=-40.9210  pop_best=+91.9307
gen 108  best=+91.9307  mean=-52.5564  pop_best=+91.9307
gen 109  best=+91.9307  mean=-27.4472  pop_best=+91.9307
gen 110  best=+91.9307  mean=-35.2997  pop_best=+91.9307
gen 111  best=+91.9307  mean=-60.5276  pop_best=+91.9307
gen 112  best=+91.9307  mean=-39.9688  pop_best=+91.9307
gen 113  best=+91.9307  mean=-57.4728  pop_best=+91.9307
gen 114  best=+91.9307  mean=-29.0100  pop_best=+91.9307
gen 115  best=+91.9307  mean=-34.5241  pop_best=+91.9307
gen 116  best=+91.9307  mean=-41.5409  pop_best=+91.9307
gen 117  best=+91.9307  mean=-31.5969  pop_best=+91.9307
gen 118  best=+91.9307  mean=-38.6503  pop_best=+91.9307
gen 119  best=+91.9307  mean=-71.9464  pop_best=+91.9307
gen 120  best=+91.9307  mean=-70.9014  pop_best=+91.9307
gen 121  best=+91.9307  mean=-32.8809  pop_best=+91.9307
gen 122  best=+91.9307  mean=-30.3549  pop_best=+91.9307
gen 123  best=+91.9307  mean=-63.6966  pop_best=+91.9307
gen 124  best=+91.9307  mean=-52.3669  pop_best=+91.9307
gen 125  best=+91.9307  mean=-47.4133  pop_best=+91.9307
gen 126  best=+91.9307  mean=-78.5293  pop_best=+91.9307
gen 127  best=+91.9307  mean=-33.1548  pop_best=+91.9307
gen 128  best=+91.9307  mean=-37.4459  pop_best=+91.9307
gen 129  best=+91.9307  mean=-62.7375  pop_best=+91.9307
gen 130  best=+91.9307  mean=-26.8977  pop_best=+91.9307
gen 131  best=+91.9307  mean=-30.8944  pop_best=+91.9307
gen 132  best=+91.9307  mean=-23.2763  pop_best=+91.9307
gen 133  best=+91.9307  mean=-26.5831  pop_best=+91.9307
gen 134  best=+91.9307  mean=-50.9007  pop_best=+91.9307
gen 135  best=+91.9307  mean=-27.2333  pop_best=+91.9307
gen 136  best=+91.9307  mean=-51.9820  pop_best=+91.9307
gen 137  best=+91.9307  mean=-26.4937  pop_best=+91.9307
gen 138  best=+91.9307  mean=-63.2793  pop_best=+91.9307
gen 139  best=+91.9307  mean=-46.8561  pop_best=+91.9307
gen 140  best=+91.9307  mean=-44.0155  pop_best=+91.9307
gen 141  best=+91.9307  mean=-27.7030  pop_best=+91.9307
gen 142  best=+91.9307  mean=-31.5349  pop_best=+91.9307
gen 143  best=+91.9307  mean=-32.7366  pop_best=+91.9307
gen 144  best=+91.9307  mean=-45.2256  pop_best=+91.9307
gen 145  best=+91.9307  mean=-47.0289  pop_best=+91.9307
gen 146  best=+91.9307  mean=-24.8700  pop_best=+91.9307
gen 147  best=+91.9307  mean=-55.1579  pop_best=+91.9307
gen 148  best=+91.9307  mean=-48.0028  pop_best=+91.9307
gen 149  best=+91.9307  mean=-56.5099  pop_best=+91.9307
gen 150  best=+91.9307  mean=-41.7620  pop_best=+91.9307
gen 151  best=+91.9307  mean=-30.9863  pop_best=+91.9307
gen 152  best=+91.9307  mean=-24.0861  pop_best=+91.9307
gen 153  best=+91.9307  mean=-36.8081  pop_best=+91.9307
gen 154  best=+91.9307  mean=-23.6061  pop_best=+91.9307
gen 155  best=+91.9307  mean=-36.7746  pop_best=+91.9307
gen 156  best=+91.9307  mean=-23.7154  pop_best=+91.9307
gen 157  best=+91.9307  mean=-68.1838  pop_best=+91.9307
gen 158  best=+91.9307  mean=-43.3850  pop_best=+91.9307
gen 159  best=+91.9307  mean=-30.3179  pop_best=+91.9307
gen 160  best=+91.9307  mean=-37.7257  pop_best=+91.9307
gen 161  best=+91.9307  mean=-32.9720  pop_best=+91.9307
gen 162  best=+91.9307  mean=-47.0419  pop_best=+91.9307
gen 163  best=+91.9307  mean=-36.0134  pop_best=+91.9307
gen 164  best=+91.9307  mean=-32.7319  pop_best=+91.9307
gen 165  best=+91.9307  mean=-36.0388  pop_best=+91.9307
gen 166  best=+91.9307  mean=-57.2141  pop_best=+91.9307
gen 167  best=+91.9307  mean=-27.1704  pop_best=+91.9307
gen 168  best=+91.9307  mean=-28.1942  pop_best=+91.9307
gen 169  best=+91.9307  mean=-56.0133  pop_best=+91.9307
gen 170  best=+91.9307  mean=-41.9569  pop_best=+91.9307
gen 171  best=+91.9307  mean=-23.5156  pop_best=+91.9307
gen 172  best=+91.9307  mean=-31.7956  pop_best=+91.9307
gen 173  best=+91.9307  mean=-35.7563  pop_best=+91.9307
gen 174  best=+91.9307  mean=-33.9717  pop_best=+91.9307
gen 175  best=+91.9307  mean=-36.6517  pop_best=+91.9307
gen 176  best=+91.9307  mean=-43.0844  pop_best=+91.9307
gen 177  best=+91.9307  mean=-42.8024  pop_best=+91.9307
gen 178  best=+91.9307  mean=-19.7059  pop_best=+91.9307
gen 179  best=+91.9307  mean=-40.8877  pop_best=+91.9307
gen 180  best=+91.9307  mean=-44.4300  pop_best=+91.9307
gen 181  best=+91.9307  mean=-33.4932  pop_best=+91.9307
gen 182  best=+91.9307  mean=-55.5148  pop_best=+91.9307
gen 183  best=+91.9307  mean=-36.6566  pop_best=+91.9307
gen 184  best=+91.9307  mean=-34.0025  pop_best=+91.9307
gen 185  best=+91.9307  mean=-25.4407  pop_best=+91.9307
gen 186  best=+91.9307  mean=-44.5525  pop_best=+91.9307
gen 187  best=+91.9307  mean=-48.6288  pop_best=+91.9307
gen 188  best=+91.9307  mean=-35.7983  pop_best=+91.9307
gen 189  best=+91.9307  mean=-56.5711  pop_best=+91.9307
gen 190  best=+91.9307  mean=-50.7441  pop_best=+91.9307
gen 191  best=+91.9307  mean=-62.0328  pop_best=+91.9307
gen 192  best=+91.9307  mean=-60.8478  pop_best=+91.9307
gen 193  best=+91.9307  mean=-66.8204  pop_best=+91.9307
gen 194  best=+91.9307  mean=-30.3986  pop_best=+91.9307
gen 195  best=+91.9307  mean=-58.4621  pop_best=+91.9307
gen 196  best=+91.9307  mean=-33.6170  pop_best=+91.9307
gen 197  best=+91.9307  mean=-33.7787  pop_best=+91.9307
gen 198  best=+91.9307  mean=-25.1859  pop_best=+91.9307
gen 199  best=+91.9307  mean=-23.4375  pop_best=+91.9307
gen 200  best=+91.9307  mean=-39.4307  pop_best=+91.9307

Done. best reward 91.9307  (0 restarts)
  phase_time=0.68s
  start         FL(+13.6, -86.5)  FR(+40.4, -28.6)  RL(+53.0, -83.7)  RR(+34.1, -50.1)
  shift_FR      FL(+48.1, -89.3)  FR(+54.2, -74.4)  RL(+42.5, -75.7)  RR( +8.9, -67.5)
  swing_FR      FL(+36.8, -26.5)  FR(+52.8, -96.3)  RL(+52.1, -93.0)  RR(+13.1, -92.5)
  plant_FR      FL(+26.7, -93.2)  FR( +8.8, -75.1)  RL(+48.5, -70.1)  RR(+32.4, -95.2)
  shift_RL      FL(+10.2, -31.5)  FR(+33.1, -84.7)  RL(+53.4, -83.9)  RR(+31.4, -40.5)
