=== Training config ===
  algo=random  init=random  gens=2500  popsize=48
  cpus=16  node=p1cmp065.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_2500
  workdir=/tmp/tmp.GyKOy4F4Wn
  started=Wed Apr 22 09:46:45 EDT 2026

Random search (105 params, popsize=48, gens=2500, 5 cycles/eval)
  workers: 15
gen  88  best=+13.2196  mean=-66.5245  pop_best=+13.2196
gen  89  best=+13.2196  mean=-69.8459  pop_best=+13.2196
gen  90  best=+13.2196  mean=-49.7479  pop_best=+13.2196
gen  91  best=+13.2196  mean=-44.9559  pop_best=+13.2196
gen  92  best=+13.2196  mean=-46.3962  pop_best=+13.2196
gen  93  best=+13.2196  mean=-38.6779  pop_best=+13.2196
gen  94  best=+13.2196  mean=-36.7108  pop_best=+13.2196
gen  95  best=+13.2196  mean=-41.1509  pop_best=+13.2196
gen  96  best=+13.2196  mean=-36.0233  pop_best=+13.2196
gen  97  best=+13.2196  mean=-40.8344  pop_best=+13.2196
gen  98  best=+13.2196  mean=-50.8829  pop_best=+13.2196
gen  99  best=+13.2196  mean=-18.2986  pop_best=+13.2196
gen 100  best=+13.2196  mean=-44.7362  pop_best=+13.2196
gen 101  best=+13.2196  mean=-49.7781  pop_best=+13.2196
gen 102  best=+13.2196  mean=-54.3380  pop_best=+13.2196
gen 103  best=+13.2196  mean=-43.0673  pop_best=+13.2196
gen 104  best=+13.2196  mean=-56.3659  pop_best=+13.2196
gen 105  best=+13.2196  mean=-54.3420  pop_best=+13.2196
gen 106  best=+13.2196  mean=-40.4092  pop_best=+13.2196
gen 107  best=+13.2196  mean=-44.3184  pop_best=+13.2196
gen 108  best=+13.2196  mean=-38.5947  pop_best=+13.2196
gen 109  best=+13.2196  mean=-42.3530  pop_best=+13.2196
gen 110  best=+13.2196  mean=-35.7694  pop_best=+13.2196
gen 111  best=+13.2196  mean=-31.6234  pop_best=+13.2196
gen 112  best=+13.2196  mean=-40.6413  pop_best=+13.2196
gen 113  best=+13.2196  mean=-64.8889  pop_best=+13.2196
gen 114  best=+13.2196  mean=-46.9125  pop_best=+13.2196
gen 115  best=+13.2196  mean=-54.8079  pop_best=+13.2196
gen 116  best=+13.2196  mean=-56.3620  pop_best=+13.2196
gen 117  best=+13.2196  mean=-39.6286  pop_best=+13.2196
gen 118  best=+13.2196  mean=-36.3073  pop_best=+13.2196
gen 119  best=+13.2196  mean=-25.6199  pop_best=+13.2196
gen 120  best=+13.2196  mean=-30.9754  pop_best=+13.2196
gen 121  best=+13.2196  mean=-17.4131  pop_best=+13.2196
gen 122  best=+13.2196  mean=-35.6577  pop_best=+13.2196
gen 123  best=+13.2196  mean=-26.3260  pop_best=+13.2196
gen 124  best=+13.2196  mean=-58.7249  pop_best=+13.2196
gen 125  best=+13.2196  mean=-18.0284  pop_best=+13.2196
gen 126  best=+13.2196  mean=-24.4476  pop_best=+13.2196
gen 127  best=+13.2196  mean=-36.5751  pop_best=+13.2196
gen 128  best=+13.2196  mean=-23.0658  pop_best=+13.2196
gen 129  best=+13.2196  mean=-33.8388  pop_best=+13.2196
gen 130  best=+13.2196  mean=-66.1380  pop_best=+13.2196
gen 131  best=+13.2196  mean=-44.1664  pop_best=+13.2196
gen 132  best=+13.2196  mean=-29.9255  pop_best=+13.2196
gen 133  best=+13.2196  mean=-20.8477  pop_best=+13.2196
gen 134  best=+13.2196  mean=-50.8172  pop_best=+13.2196
gen 135  best=+13.2196  mean=-36.6258  pop_best=+13.2196
gen 136  best=+13.2196  mean=-37.3398  pop_best=+13.2196
gen 137  best=+13.2196  mean=-37.2970  pop_best=+13.2196
gen 138  best=+13.2196  mean=-78.4720  pop_best=+13.2196
gen 139  best=+13.2196  mean=-28.0937  pop_best=+13.2196
gen 140  best=+13.2196  mean=-34.2448  pop_best=+13.2196
gen 141  best=+13.2196  mean=-56.2847  pop_best=+13.2196
gen 142  best=+13.2196  mean=-36.8639  pop_best=+13.2196
gen 143  best=+13.2196  mean=-30.2875  pop_best=+13.2196
gen 144  best=+13.2196  mean=-29.4055  pop_best=+13.2196
gen 145  best=+13.2196  mean=-38.8497  pop_best=+13.2196
gen 146  best=+18.3836  mean=-43.5204  pop_best=+18.3836  dist=+0.1636m phases=24/60 z=0.166
gen 147  best=+18.3836  mean=-41.1391  pop_best=+18.3836
gen 148  best=+18.3836  mean=-40.0522  pop_best=+18.3836
gen 149  best=+18.3836  mean=-43.4873  pop_best=+18.3836
gen 150  best=+18.3836  mean=-34.1482  pop_best=+18.3836
gen 151  best=+18.3836  mean=-23.6051  pop_best=+18.3836
gen 152  best=+18.3836  mean=-43.5544  pop_best=+18.3836
gen 153  best=+18.3836  mean=-32.5786  pop_best=+18.3836
gen 154  best=+18.3836  mean=-71.1996  pop_best=+18.3836
gen 155  best=+18.3836  mean=-38.3181  pop_best=+18.3836
gen 156  best=+18.3836  mean=-21.3325  pop_best=+18.3836
gen 157  best=+18.3836  mean=-41.7924  pop_best=+18.3836
gen 158  best=+18.3836  mean=-36.4181  pop_best=+18.3836
gen 159  best=+18.3836  mean=-28.3289  pop_best=+18.3836
gen 160  best=+18.3836  mean=-48.3407  pop_best=+18.3836
gen 161  best=+18.3836  mean=-28.4821  pop_best=+18.3836
gen 162  best=+18.3836  mean=-50.2821  pop_best=+18.3836
gen 163  best=+18.3836  mean=-22.0889  pop_best=+18.3836
gen 164  best=+18.3836  mean=-29.3404  pop_best=+18.3836
gen 165  best=+18.3836  mean=-48.0288  pop_best=+18.3836
gen 166  best=+18.3836  mean=-32.6020  pop_best=+18.3836
gen 167  best=+18.3836  mean=-23.5343  pop_best=+18.3836
gen 168  best=+18.3836  mean=-35.5879  pop_best=+18.3836
gen 169  best=+18.3836  mean=-55.2686  pop_best=+18.3836
gen 170  best=+18.3836  mean=-38.2123  pop_best=+18.3836
gen 171  best=+18.3836  mean=-29.6414  pop_best=+18.3836
gen 172  best=+18.3836  mean=-37.4482  pop_best=+18.3836
gen 173  best=+18.3836  mean=-43.9565  pop_best=+18.3836
gen 174  best=+18.3836  mean=-66.4840  pop_best=+18.3836
gen 175  best=+18.3836  mean=-47.1525  pop_best=+18.3836
gen 176  best=+18.3836  mean=-53.5478  pop_best=+18.3836
gen 177  best=+18.3836  mean=-28.9590  pop_best=+18.3836
gen 178  best=+18.3836  mean=-36.1790  pop_best=+18.3836
gen 179  best=+18.3836  mean=-52.5513  pop_best=+18.3836
gen 180  best=+18.3836  mean=-43.6244  pop_best=+18.3836
gen 181  best=+18.3836  mean=-45.1561  pop_best=+18.3836
gen 182  best=+18.3836  mean=-28.0422  pop_best=+18.3836
gen 183  best=+18.3836  mean=-34.5365  pop_best=+18.3836
gen 184  best=+18.3836  mean=-34.2743  pop_best=+18.3836
gen 185  best=+18.3836  mean=-48.6435  pop_best=+18.3836
gen 186  best=+18.3836  mean=-27.6806  pop_best=+18.3836
gen 187  best=+18.3836  mean=-25.7570  pop_best=+18.3836
gen 188  best=+18.3836  mean=-31.1806  pop_best=+18.3836
gen 189  best=+18.3836  mean=-24.0324  pop_best=+18.3836
gen 190  best=+18.3836  mean=-43.2004  pop_best=+18.3836
gen 191  best=+18.3836  mean=-29.5007  pop_best=+18.3836
gen 192  best=+18.3836  mean=-31.7800  pop_best=+18.3836
gen 193  best=+18.3836  mean=-21.1959  pop_best=+18.3836
gen 194  best=+18.3836  mean=-34.6869  pop_best=+18.3836
gen 195  best=+18.3836  mean=-33.1689  pop_best=+18.3836
gen 196  best=+18.3836  mean=-46.1828  pop_best=+18.3836
gen 197  best=+18.3836  mean=-26.5753  pop_best=+18.3836
gen 198  best=+18.3836  mean=-77.0503  pop_best=+18.3836
gen 199  best=+18.3836  mean=-53.7440  pop_best=+18.3836
gen 200  best=+18.3836  mean=-49.1976  pop_best=+18.3836
gen 201  best=+18.3836  mean=-33.7427  pop_best=+18.3836
gen 202  best=+18.3836  mean=-34.6178  pop_best=+18.3836
gen 203  best=+18.3836  mean=-28.4401  pop_best=+18.3836
gen 204  best=+18.3836  mean=-47.7855  pop_best=+18.3836
gen 205  best=+18.3836  mean=-45.1285  pop_best=+18.3836
gen 206  best=+18.3836  mean=-36.0906  pop_best=+18.3836
gen 207  best=+18.3836  mean=-31.4802  pop_best=+18.3836
gen 208  best=+18.3836  mean=-53.0254  pop_best=+18.3836
gen 209  best=+18.3836  mean=-24.5103  pop_best=+18.3836
gen 210  best=+18.3836  mean=-53.9128  pop_best=+18.3836
gen 211  best=+18.3836  mean=-42.1866  pop_best=+18.3836
gen 212  best=+18.3836  mean=-37.5256  pop_best=+18.3836
gen 213  best=+18.3836  mean=-29.6418  pop_best=+18.3836
gen 214  best=+18.3836  mean=-65.3132  pop_best=+18.3836
gen 215  best=+18.3836  mean=-36.8463  pop_best=+18.3836
gen 216  best=+18.3836  mean=-48.8609  pop_best=+18.3836
gen 217  best=+18.3836  mean=-36.7511  pop_best=+18.3836
gen 218  best=+18.3836  mean=-35.4496  pop_best=+18.3836
gen 219  best=+18.3836  mean=-51.3359  pop_best=+18.3836
gen 220  best=+18.3836  mean=-36.9356  pop_best=+18.3836
gen 221  best=+18.3836  mean=-38.8794  pop_best=+18.3836
gen 222  best=+18.3836  mean=-23.0927  pop_best=+18.3836
gen 223  best=+18.3836  mean=-33.8269  pop_best=+18.3836
gen 224  best=+18.3836  mean=-44.4502  pop_best=+18.3836
gen 225  best=+18.3836  mean=-36.4131  pop_best=+18.3836
gen 226  best=+18.3836  mean=-45.4935  pop_best=+18.3836
gen 227  best=+18.3836  mean=-40.4583  pop_best=+18.3836
gen 228  best=+18.3836  mean=-55.9747  pop_best=+18.3836
gen 229  best=+18.3836  mean=-22.5614  pop_best=+18.3836
gen 230  best=+18.3836  mean=-57.7150  pop_best=+18.3836
gen 231  best=+18.3836  mean=-40.8858  pop_best=+18.3836
gen 232  best=+18.3836  mean=-26.6844  pop_best=+18.3836
gen 233  best=+18.3836  mean=-33.5900  pop_best=+18.3836
